,uuid,level,kpi,value
0,03428713-2707-4a41-b0b4-2de678ed359f,local,sustainability,14.8
1,03428713-2707-4a41-b0b4-2de678ed359f,local,self_sufficiency,0.0
2,03428713-2707-4a41-b0b4-2de678ed359f,local,netload,85.3
3,03428713-2707-4a41-b0b4-2de678ed359f,local,costs,9332385.137262445
4,03428713-2707-4a41-b0b4-2de678ed359f,intermediate,sustainability,8.693040060211802
5,03428713-2707-4a41-b0b4-2de678ed359f,intermediate,self_sufficiency,10.708149117027055
6,03428713-2707-4a41-b0b4-2de678ed359f,intermediate,netload,100.0
7,03428713-2707-4a41-b0b4-2de678ed359f,intermediate,costs,3079048334.717123
8,03428713-2707-4a41-b0b4-2de678ed359f,national,sustainability,16.640665294852052
9,03428713-2707-4a41-b0b4-2de678ed359f,national,self_sufficiency,21.916320745978744
10,03428713-2707-4a41-b0b4-2de678ed359f,national,netload,100.0
11,03428713-2707-4a41-b0b4-2de678ed359f,national,costs,47338934609.97675
0,9ad2adbc-508e-46cf-acf5-c24549fb1e27,local,sustainability,17.4
1,9ad2adbc-508e-46cf-acf5-c24549fb1e27,local,self_sufficiency,0.0
2,9ad2adbc-508e-46cf-acf5-c24549fb1e27,local,netload,110.1
3,9ad2adbc-508e-46cf-acf5-c24549fb1e27,local,costs,9408163.497188743
4,9ad2adbc-508e-46cf-acf5-c24549fb1e27,intermediate,sustainability,8.693040060211802
5,9ad2adbc-508e-46cf-acf5-c24549fb1e27,intermediate,self_sufficiency,10.708149117027055
6,9ad2adbc-508e-46cf-acf5-c24549fb1e27,intermediate,netload,100.0
7,9ad2adbc-508e-46cf-acf5-c24549fb1e27,intermediate,costs,3079048334.717123
8,9ad2adbc-508e-46cf-acf5-c24549fb1e27,national,sustainability,16.686615701342806
9,9ad2adbc-508e-46cf-acf5-c24549fb1e27,national,self_sufficiency,21.955185424571745
10,9ad2adbc-508e-46cf-acf5-c24549fb1e27,national,netload,100.0
11,9ad2adbc-508e-46cf-acf5-c24549fb1e27,national,costs,47215719881.17713
0,51a89e80-b07c-4eae-bf56-981b0a3645e9,local,sustainability,20.3
1,51a89e80-b07c-4eae-bf56-981b0a3645e9,local,self_sufficiency,0.0
2,51a89e80-b07c-4eae-bf56-981b0a3645e9,local,netload,135.8
3,51a89e80-b07c-4eae-bf56-981b0a3645e9,local,costs,9832356.795817377
